inputDistricKey,strDistricts
1,Huyện An Phú
2,Huyện Châu Phú
3,Huyện Châu Thành
4,Huyện Chợ Mới
5,Huyện Phú Tân
6,Huyện Thoại Sơn
7,Huyện Tịnh Biên
8,Huyện Tri Tôn
9,Thành phố Châu Đốc
10,Thành phố Long Xuyên
11,Thị xã Tân Châu
12,Huyện Hiệp Hòa
13,Huyện Lạng Giang
14,Huyện Lục Nam
15,Huyện Lục Ngạn
16,Huyện Sơn Động
17,Huyện Tân Yên
18,Huyện Việt Yên
19,Huyện Yên Dũng
20,Huyện Yên Thế
21,Thành phố Bắc Giang
22,Huyện Ba Bể
23,Huyện Bạch Thông
24,Huyện Chợ Đồn
25,Huyện Chợ Mới
26,Huyện Na Rì
27,Huyện Ngân Sơn
28,Huyện Pác Nặm
29,Thành phố Bắc Kạn
30,Huyện Đông Hải
31,Huyện Hòa Bình
32,Huyện Hồng Dân
33,Huyện Phước Long
34,Huyện Vĩnh Lợi
35,Thành phố Bạc Liêu
36,Thị xã Giá Rai
37,Huyện Gia Bình
38,Huyện Lương Tài
39,Huyện Quế Võ
40,Huyện Thuận Thành
41,Huyện Tiên Du
42,Huyện Yên Phong
43,Thành phố Bắc Ninh
44,Thị xã Từ Sơn
45,Huyện Châu Đức
46,Huyện Côn Đảo
47,Huyện Đất Đỏ
48,Huyện Long Điền
49,Huyện Xuyên Mộc
50,Thành phố Bà Rịa
51,Thành phố Vũng Tàu
52,Thị xã Phú Mỹ
53,Huyện Ba Tri
54,Huyện Bình Đại
55,Huyện Châu Thành
56,Huyện Chợ Lách
57,Huyện Giồng Trôm
58,Huyện Mỏ Cày Bắc
59,Huyện Mỏ Cày Nam
60,Huyện Thạnh Phú
61,Thành phố Bến Tre
62,Huyện An Lão
63,Huyện Hoài Ân
64,Huyện Hoài Nhơn
65,Huyện Phù Cát
66,Huyện Phù Mỹ
67,Huyện Tây Sơn
68,Huyện Tuy Phước
69,Huyện Vân Canh
70,Huyện Vĩnh Thạnh
71,Thành phố Quy Nhơn
72,Thị xã An Nhơn
73,Huyện Bắc Tân Uyên
74,Huyện Bàu Bàng
75,Huyện Dầu Tiếng
76,Huyện Phú Giáo
77,Thành phố Dĩ An
78,Thành phố Thuận An
79,Thành phố Thủ Dầu Một
80,Thị xã Bến Cát
81,Thị Xã Tân Uyên
82,Huyện Bù Đăng
83,Huyện Bù Đốp
84,Huyện Bù Gia Mập
85,Huyện Chơn Thành
86,Huyện Đồng Phú
87,Huyện Hớn Quản
88,Huyện Lộc Ninh
89,Huyện Phú Riềng
90,Thị xã Bình Long
91,Thị xã Đồng Xoài
92,Thị xã Phước Long
93,Huyện Bắc Bình
94,Huyện  Đức Linh
95,Huyện Hàm Tân
96,Huyện Hàm Thuận Bắc
97,Huyện Hàm Thuận Nam
98,Huyện Phú Quí
99,Huyện Tánh Linh
100,Huyện Tuy Phong
101,Thành phố Phan Thiết
102,Thị xã La Gi
103,Huyện Cái Nước
104,Huyện Đầm Dơi
105,Huyện Năm Căn
